HiringManager;Experience;UniversityReputation;GPA;Gender;JobPosition;RANDOM;Salary
D;6.24274860178488;4;3.5462814644352085;female;sales;0.41739272600100974;44968.81674562611
D;11.35982939096699;5;3.1930854555692347;female;HR;0.1385503236933957;48256.18468551311
G;5.416246524906298;5;3.2523909370179807;female;HR;0.9986868851349414;43702.18218379713
F;12.315464791761919;2;2.5331782948561843;female;technician;0.9750068588252987;42100.00046949865
B;10.290767627772372;3;3.776224825876743;male;sales;0.5332290442936087;48320.5264197521
C;11.325047432637252;4;3.379024585112951;female;services;0.35326071525995595;47200.41451972739
D;5.5507538307661;1;3.4513519131515142;female;sales;0.8898613939761528;31969.68017735786
D;11.586575303358252;4;2.581133567688856;male;technician;0.268240435771234;49438.541572266666
E;6.04354565030235;3;3.614867433114521;male;sales;0.738011961277802;41436.20704879651
A;11.320036760056837;4;2.854074811150059;other;management;0.18382604929505586;81298.71831812727
G;3.899396103650078;1;3.190044884065982;female;sales;0.023855298341578846;30557.228481439473
B;2.0557749976804374;4;2.629121508048014;female;HR;0.9553057346943595;33323.552081823516
E;9.784013755542027;3;3.3529910318791636;male;services;0.039815553432218986;39552.495847712686
F;3.094679987533395;1;2.470661679761953;female;technician;0.5727620307800676;30888.455521083615
F;3.134353099813783;1;2.7095591477952863;male;HR;0.3747966872858657;27330.553080027952
B;7.219502687639709;1;2.6993975398203522;female;sales;0.30810939066382803;34989.69450962302
C;2.263742056298529;4;2.8678418792731444;female;services;0.188772472075307;34410.17802887848
D;4.337816562225381;3;2.5475491507251404;female;sales;0.34150639276601513;38803.6493201414
G;9.23243514524021;4;3.627601749126593;other;services;0.7227125818911646;45270.74161576916
C;3.230629302915112;4;2.724991382156028;female;sales;0.30452891934387183;39604.07562403011
A;9.189305522747073;3;3.592418483921302;male;management;0.9145569029602495;72467.36108735652
F;10.019926760227444;2;3.120637753240524;male;services;0.4133426086092248;36525.95098582594
A;8.86191961163306;2;2.9046405788179492;male;management;0.6874303942695765;63547.16540285084
E;6.568495565519297;2;2.7539878672730995;male;services;0.3955213979503628;32823.017135918264
F;8.044642787665556;3;2.9740081444164495;male;technician;0.2603584465902783;40097.73504547146
C;12.764557786066936;2;2.7104131679262573;male;HR;0.43679533261311676;39800.03697128009
B;8.038515630593036;2;3.603667692276375;female;HR;0.07929058688573043;36435.595240310184
D;8.955300392187407;4;2.2887169614600547;male;sales;0.2786139270578005;43304.110421496836
G;13.019966493195444;1;3.5836928128753183;male;management;0.8301511573230251;55461.66734952817
E;8.192794336910673;1;4.0;male;sales;0.5496456849428453;37987.3830328908
D;12.21548127798427;4;3.378990854250836;female;services;0.5280662168638706;46229.23086533052
B;11.009624522640099;3;2.9925920427433006;male;services;0.14539707855524875;40528.61062671465
