HiringManager;Experience;UniversityReputation;GPA;Gender;JobPosition;RANDOM;Salary
D;9.24274860178488;4;3.5462814644352085;female;sales;0.41739272600100974;39781.81598514156
D;9.35982939096699;5;3.1930854555692347;female;HR;0.1385503236933957;39661.78226192543
G;4.416246524906298;5;3.2523909370179807;female;HR;0.9986868851349414;35478.53162188294
F;12.315464791761919;2;2.5331782948561843;female;technician;0.9750068588252987;35887.002991678455
B;10.290767627772372;3;3.776224825876743;male;sales;0.5332290442936087;54228.80959426551
C;9.325047432637252;4;3.379024585112951;female;services;0.35326071525995595;36620.632112433676
D;9.5507538307661;1;3.4513519131515142;female;sales;0.8898613939761528;31628.27412918946
D;11.586575303358252;4;2.581133567688856;male;technician;0.268240435771234;57748.47201913148
E;6.04354565030235;3;3.614867433114521;male;sales;0.738011961277802;48306.17154942468
A;11.320036760056837;4;2.854074811150059;other;management;0.18382604929505586;79250.73548824251
G;2.899396103650078;1;3.190044884065982;female;sales;0.023855298341578846;25042.568030295915
B;8.055774997680437;4;2.629121508048014;female;HR;0.9553057346943595;34952.253617944196
E;9.784013755542027;3;3.3529910318791636;male;services;0.039815553432218986;48587.994983160424
F;6.094679987533395;1;2.470661679761953;female;technician;0.5727620307800676;27148.66312949858
F;3.134353099813783;1;2.7095591477952863;male;HR;0.3747966872858657;32501.448987974934
B;8.219502687639709;1;2.6993975398203522;female;sales;0.30810939066382803;29025.59735036342
C;2.263742056298529;4;2.8678418792731444;female;services;0.188772472075307;29749.51194261809
D;4.337816562225381;3;2.5475491507251404;female;sales;0.34150639276601513;30691.415844854255
G;9.23243514524021;4;3.627601749126593;other;services;0.7227125818911646;43487.638643493396
C;6.230629302915112;4;2.724991382156028;female;sales;0.30452891934387183;35508.80187771454
A;9.189305522747073;3;3.592418483921302;male;management;0.9145569029602495;87208.14777967369
F;10.019926760227444;2;3.120637753240524;male;services;0.4133426086092248;44713.44272005019
A;8.86191961163306;2;2.9046405788179492;male;management;0.6874303942695765;77049.79366162093
E;6.568495565519297;2;2.7539878672730995;male;services;0.3955213979503628;39691.765560078595
F;8.044642787665556;3;2.9740081444164495;male;technician;0.2603584465902783;50150.30998097797
C;12.764557786066936;2;2.7104131679262573;male;HR;0.43679533261311676;47962.91016522941
B;9.038515630593036;2;3.603667692276375;female;HR;0.07929058688573043;32292.1528301314
D;8.955300392187407;4;2.2887169614600547;male;sales;0.2786139270578005;52530.42367237934
G;13.019966493195444;1;3.5836928128753183;male;management;0.8301511573230251;68737.23381410295
E;8.192794336910673;1;4.0;male;sales;0.5496456849428453;44313.86146063623
D;13.21548127798427;4;3.378990854250836;female;services;0.5280662168638706;39927.44353851305
B;11.009624522640099;3;2.9925920427433006;male;services;0.14539707855524875;49193.77032975204
G;5.345991549542253;2;2.486834368472894;female;services;0.6865512129092362;26621.711243514834
A;7.531537769634429;5;2.635256127150262;other;HR;0.3228504920822579;52389.709229296386
C;3.828449680172344;1;2.8963090529573288;female;HR;0.33562868950023406;23947.46577053743
G;1.734549859587272;3;3.1026060399423274;female;services;0.17209125976960693;27148.797648551135
C;9.778432932250642;5;2.7657221865903576;female;sales;0.8975092862562963;41594.467366385994
A;14.656383668008363;1;2.1712589556873834;male;sales;0.767374042073379;57540.691736256646
E;9.09324585356706;2;2.8835276193335218;female;services;0.49990105737477797;30481.25592839899
G;6.995366439604609;1;2.9804080973630955;female;sales;0.6849893348567403;28417.775658315673
D;10.54238012978803;3;2.77778899910357;male;services;0.3645445978208761;48117.5497535942
F;4.903208497078508;5;2.79577445972184;male;management;0.6051363238933994;72890.56334973994
B;7.11490755746412;1;3.2792419896189537;male;services;0.18382972845152135;38008.069844042424
F;6.871490808255929;3;2.6963914476817217;female;technician;0.17123667137514087;33907.09591288411
G;14.510890004089665;1;2.573129961860286;male;sales;0.5899465507529602;48803.66630644208
A;7.6651835601832055;3;2.609311365900138;female;sales;0.012536310706297016;40631.20101124901
A;11.452768138549342;1;2.91685382759613;female;sales;0.5123818527432615;38871.58173438575
G;11.508586147625259;4;3.7732970613165002;male;HR;0.5846631670550949;56371.54065079611
D;7.715940308381475;2;2.9406623109451484;female;services;0.981128398078428;29407.675190731003
D;8.952235001022833;1;2.486733674709143;female;technician;0.5789134349272183;29850.531697662445
B;7.991672626483968;2;2.9071480810166523;male;sales;0.42834268251070706;45108.53554991839
D;1.2563096149540378;1;3.4720561861746297;female;HR;0.7507829081419999;22715.765862991957
A;10.34258723327473;2;2.197948583176088;male;management;0.7055879363151262;77195.12630319412
B;10.326780264367992;2;3.143560305010938;male;management;0.20067007921627122;67705.02157390176
